,City,Latitutde,Temp,Humidity,Cloudiness,Wind Speed
0,alta floresta,-9.87,71.37,96,80,2.15
1,sisimiut,66.94,16.74,100,44,4.16
2,jalu,29.03,77.76,33,0,12.77
3,rundu,-17.91,70.47,30,0,4.38
4,thompson,55.74,26.6,68,5,6.87
5,rikitea,-23.12,65.25,100,100,17.92
6,hobart,-42.88,57.2,54,20,20.8
7,cape town,-33.93,55.4,58,0,19.46
8,mahebourg,-20.41,68.0,82,40,2.24
9,ushuaia,-54.81,33.8,100,75,11.41
10,butaritari,3.07,84.95,100,0,5.08
11,kamina,-8.74,75.42,84,8,3.71
12,nikolskoye,59.7,42.8,93,90,4.47
13,cherskiy,68.75,41.85,76,48,3.15
14,rurrenabaque,-14.44,72.72,95,44,1.92
15,srandakan,-7.94,88.92,51,44,5.5
16,dikson,73.51,38.52,100,88,22.95
17,trondheim,63.43,41.23,100,75,6.93
18,novouzensk,50.46,58.23,49,48,10.31
19,provideniya,64.42,50.0,87,90,17.9
20,ilulissat,69.22,26.6,42,0,8.05
21,bluff,-23.58,84.51,25,0,8.41
22,qaanaaq,77.48,20.43,100,0,7.74
23,dargaville,-35.94,57.96,97,88,4.94
24,kahului,20.89,79.93,71,20,13.87
25,mataura,-46.19,51.21,67,0,16.91
26,westport,53.8,54.17,99,92,14.92
27,tasiilaq,65.61,33.8,69,48,9.17
28,ruwi,23.6,87.8,62,0,4.7
29,lompoc,34.64,66.61,72,75,9.17
30,albany,42.65,60.55,90,90,8.05
31,balsas,-7.53,78.12,37,20,7.07
32,tiksi,71.64,29.24,96,56,10.56
33,kapaa,22.08,81.12,76,40,9.17
34,kargasok,59.06,45.72,72,88,6.62
35,vaini,15.34,83.25,81,44,2.15
36,fortuna,38.18,59.9,87,0,2.24
37,san patricio,-26.98,63.27,94,76,4.72
38,stillwater,36.12,73.65,86,1,15.79
39,busselton,-33.64,67.59,82,0,19.37
40,charlestown,41.38,65.98,93,90,11.41
41,campo largo,-25.46,63.54,100,88,4.05
42,anadyr,64.73,50.0,93,90,31.32
43,la ronge,55.1,30.2,63,5,4.7
44,katherine,-14.47,98.6,13,0,12.75
45,chateaubelair,13.28,77.0,94,20,6.93
46,isangel,-19.55,73.34,100,0,16.15
47,hermanus,-34.42,52.92,74,0,6.73
48,antalaha,-14.9,74.79,90,24,8.97
49,carnarvon,-30.97,43.29,59,0,19.48
50,bethel,60.79,48.02,89,90,11.41
51,biak,-0.91,83.07,78,32,6.73
52,ocos,14.51,77.0,88,90,3.6
53,jamestown,-33.21,61.74,69,100,12.88
54,castro,-42.48,43.82,86,80,4.97
55,hasaki,35.73,71.6,78,75,11.41
56,beringovskiy,63.05,46.35,98,92,15.68
57,arraial do cabo,-22.97,72.81,93,24,11.77
58,aksarka,66.56,38.16,94,36,10.65
59,roald,62.58,44.31,75,75,14.99
60,shimoda,34.7,73.4,73,75,8.05
61,jacobina,-11.19,67.14,81,64,8.63
62,calatayud,41.35,55.4,54,0,2.24
63,vardo,39.62,71.1,76,90,4.7
64,bambous virieux,-20.34,75.2,64,40,9.17
65,punta arenas,-53.16,39.2,80,20,17.22
66,burnie,-41.05,57.96,87,0,17.81
67,hue,16.47,82.4,78,75,2.24
68,mantua,45.16,46.42,93,0,1.12
69,chokurdakh,70.62,36.08,98,36,6.98
70,agadez,16.97,84.2,58,0,4.7
71,flinders,-34.58,69.8,49,90,20.8
72,vallenar,-28.58,47.7,65,24,2.26
73,verkhoyansk,67.55,29.51,68,8,3.74
74,port hardy,50.7,39.2,84,5,6.93
75,dingle,11.0,84.95,81,24,3.85
76,yellowknife,62.45,26.6,73,75,13.87
77,hithadhoo,-0.6,80.36,100,76,21.18
78,pacific grove,36.62,64.85,77,90,6.93
79,atuona,-9.8,77.22,100,68,11.88
80,taltal,-25.41,53.01,85,76,2.15
81,grand gaube,-20.01,75.2,64,40,9.17
82,samarai,-10.62,78.02,99,44,18.72
83,timbiras,-4.26,76.77,76,0,4.16
84,leningradskiy,69.38,41.4,87,32,16.46
85,teguldet,57.31,42.39,77,92,6.62
86,deputatskiy,69.3,25.55,87,80,11.01
87,yulara,-25.24,82.4,30,40,13.87
88,vostok,46.45,51.75,54,0,6.17
89,hamilton,43.26,52.68,93,90,3.36
90,calama,-22.46,51.8,8,0,20.8
91,virginia beach,36.85,72.3,84,1,6.93
92,pauini,-7.71,73.53,96,12,2.59
93,saint george,39.45,57.2,87,40,2.24
94,iqaluit,63.75,30.2,92,90,17.22
95,vieux-habitants,16.06,77.0,88,0,2.24
96,longyearbyen,78.22,11.43,100,44,4.05
97,mar del plata,-46.43,44.73,59,32,16.91
98,pevek,69.7,44.0,91,20,8.66
99,marumori,37.9,71.6,60,75,6.93
100,tuktoyaktuk,69.44,23.0,100,90,12.75
101,new norfolk,-42.78,57.2,54,20,20.8
102,ostrovnoy,68.05,28.7,82,80,7.87
103,taoudenni,22.68,74.34,34,44,2.26
104,kavieng,-2.57,85.04,100,56,1.39
105,rajur,15.74,84.96,82,0,5.73
106,constitucion,23.99,66.2,63,5,3.36
107,cabo san lucas,22.89,78.8,83,5,4.7
108,luena,-11.78,67.23,70,0,3.49
109,ranong,9.96,82.4,88,20,3.6
110,saint-philippe,45.36,49.86,100,90,9.17
111,norman wells,65.28,30.2,68,20,10.29
112,port elizabeth,39.31,71.22,81,90,11.41
113,sinnamary,5.38,81.9,93,0,13.0
114,lebu,8.96,50.0,81,20,4.7
115,khani,41.96,64.4,93,75,3.36
116,kaitangata,-46.28,56.24,62,0,11.45
117,vaitape,-16.52,76.41,100,12,26.31
118,aksu,52.04,42.8,81,0,2.24
119,lasa,34.92,69.8,68,20,2.24
120,bredasdorp,-34.53,41.0,86,64,3.36
121,barabai,-2.59,91.08,57,0,1.14
122,lagoa,37.14,69.8,88,40,6.93
123,newport,51.59,52.7,100,0,5.82
124,imeni zhelyabova,58.95,46.44,98,48,9.53
125,matara,-13.74,38.06,86,0,1.95
126,talcahuano,-36.72,50.0,61,0,10.29
127,ust-kulom,61.69,44.01,97,92,7.07
128,beira,43.2,50.11,93,0,3.36
129,maromitsa,59.87,46.98,97,92,6.17
130,kudahuvadhoo,2.67,81.63,100,92,21.94
131,presidencia roque saenz pena,-26.79,61.47,54,92,10.42
132,pangai,-19.8,77.0,78,75,19.46
133,east london,-33.02,53.6,76,75,14.99
134,stokmarknes,68.56,39.79,100,75,9.17
135,thongwa,16.76,86.0,74,90,5.82
136,ryotsu,38.08,69.8,60,20,9.17
137,jega,12.22,73.44,93,0,8.75
138,ribeira grande,38.52,72.27,99,44,7.18
139,katsuura,33.93,73.4,64,40,5.82
140,port alfred,-33.59,60.21,97,92,12.77
141,hualmay,-11.1,57.33,93,56,0.69
142,yerbogachen,61.28,39.32,54,12,8.21
143,salalah,17.01,71.6,56,0,4.7
144,geraldton,49.72,44.6,87,90,8.05
145,bara,10.41,73.8,90,24,10.65
146,turtas,58.94,49.14,77,24,6.62
147,talakan,50.29,55.89,39,0,7.18
148,hornepayne,49.22,39.14,95,32,5.53
149,comodoro rivadavia,-45.87,48.2,42,0,12.75
150,alamosa,37.47,51.98,89,40,10.29
151,olinda,-2.03,71.6,83,40,11.41
152,valparaiso,41.47,57.76,92,40,5.82
153,denpasar,-8.65,86.0,62,20,16.11
154,bosaso,11.28,83.25,97,0,2.93
155,lagunas,-5.23,78.84,82,44,2.71
156,necochea,-38.55,40.77,95,8,4.61
